site.sp,sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,poaching_level,protection_level,site_type
Cuon alpinus-BBS,Cuon alpinus,BBS,-0.423216072,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Cuon alpinus-NAK,Cuon alpinus,NAK,0.425039756,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Cuon alpinus-PSH,Cuon alpinus,PSH,-0.843476913,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,Cuon alpinus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Cynogale bennettii-BBS,Cynogale bennettii,BBS,-0.13571061,stable,stable,AS,EN,4500,MAMMALIA,Carnivore,Cynogale bennettii-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Dasyprocta fuliginosa-YAN,Dasyprocta fuliginosa,YAN,0.073033831,stable,stable,LA,LC,3500,MAMMALIA,Herbivore,Dasyprocta fuliginosa-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Dasyprocta fuliginosa-YAS,Dasyprocta fuliginosa,YAS,0.044471759,stable,stable,LA,LC,3500,MAMMALIA,Herbivore,Dasyprocta fuliginosa-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Dasyprocta leporina-CAX,Dasyprocta leporina,CAX,-0.804514314,decreasing,decreasing,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Dasyprocta leporina-CSN,Dasyprocta leporina,CSN,0.047969509,stable,stable,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Dasyprocta leporina-MAN,Dasyprocta leporina,MAN,0.589327498,stable,stable,LA,LC,3020,MAMMALIA,Herbivore,Dasyprocta leporina-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Dasyprocta punctata-BCI,Dasyprocta punctata,BCI,-0.766547705,decreasing,decreasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Dasyprocta punctata-COU,Dasyprocta punctata,COU,0.219156486,stable,increasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Dasyprocta punctata-VB,Dasyprocta punctata,VB,-0.214784769,decreasing,decreasing,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Dasyprocta punctata-YAS,Dasyprocta punctata,YAS,0.423216072,stable,stable,LA,LC,2675,MAMMALIA,Herbivore,Dasyprocta punctata-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Dasypus kappleri-CAX,Dasypus kappleri,CAX,0.100195065,stable,increasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Dasypus kappleri-COU,Dasypus kappleri,COU,0.242161859,stable,stable,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Dasypus kappleri-CSN,Dasypus kappleri,CSN,-0.369562664,decreasing,decreasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Dasypus kappleri-YAN,Dasypus kappleri,YAN,-1.175900812,decreasing,decreasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Dasypus kappleri-YAS,Dasypus kappleri,YAS,1.298442072,increasing,increasing,LA,LC,9500,MAMMALIA,Herbivore,Dasypus kappleri-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Dasypus novemcinctus-BCI,Dasypus novemcinctus,BCI,-0.143074097,stable,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Dasypus novemcinctus-CAX,Dasypus novemcinctus,CAX,0.035455616,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Dasypus novemcinctus-COU,Dasypus novemcinctus,COU,0.108849361,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Dasypus novemcinctus-CSN,Dasypus novemcinctus,CSN,0.130030089,increasing,increasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Dasypus novemcinctus-MAN,Dasypus novemcinctus,MAN,-1.128657467,stable,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Dasypus novemcinctus-VB,Dasypus novemcinctus,VB,-0.282282651,decreasing,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Dasypus novemcinctus-YAN,Dasypus novemcinctus,YAN,0.036372879,stable,stable,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Dasypus novemcinctus-YAS,Dasypus novemcinctus,YAS,-0.185125447,stable,decreasing,LA,LC,4204,MAMMALIA,Herbivore,Dasypus novemcinctus-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Didelphis marsupialis-BCI,Didelphis marsupialis,BCI,0.17949499,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Didelphis marsupialis-CAX,Didelphis marsupialis,CAX,0.268263987,stable,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Didelphis marsupialis-COU,Didelphis marsupialis,COU,-0.243200242,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Didelphis marsupialis-CSN,Didelphis marsupialis,CSN,0.063886794,stable,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Didelphis marsupialis-MAN,Didelphis marsupialis,MAN,-0.536527973,stable,stable,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Didelphis marsupialis-VB,Didelphis marsupialis,VB,-0.164878067,decreasing,decreasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Didelphis marsupialis-YAN,Didelphis marsupialis,YAN,1.185012395,increasing,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Didelphis marsupialis-YAS,Didelphis marsupialis,YAS,0.559510932,increasing,increasing,LA,LC,1091,MAMMALIA,Omnivore,Didelphis marsupialis-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Echinosorex gymnura-BBS,Echinosorex gymnura,BBS,0.360235057,increasing,increasing,AS,LC,957,MAMMALIA,Insectivore,Echinosorex gymnura-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Echinosorex gymnura-PSH,Echinosorex gymnura,PSH,-0.313325238,stable,stable,AS,LC,957,MAMMALIA,Insectivore,Echinosorex gymnura-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Eira barbara-BCI,Eira barbara,BCI,0.248819041,stable,increasing,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Eira barbara-CAX,Eira barbara,CAX,0.203745293,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Eira barbara-COU,Eira barbara,COU,0.372968238,stable,increasing,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Eira barbara-CSN,Eira barbara,CSN,-0.114036479,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Eira barbara-MAN,Eira barbara,MAN,0.505847362,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Eira barbara-VB,Eira barbara,VB,0.042955876,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Eira barbara-YAN,Eira barbara,YAN,0.219410868,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Eira barbara-YAS,Eira barbara,YAS,0.020069672,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,Eira barbara-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Elephas maximus-BBS,Elephas maximus,BBS,0.430611465,stable,stable,AS,EN,2720000,MAMMALIA,Herbivore,Elephas maximus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Eulemur rufifrons-RNF,Eulemur rufifrons,RNF,-0.353554937,stable,decreasing,AF,NT,300,MAMMALIA,Herbivore,Eulemur rufifrons-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Eupleres goudotii-RNF,Eupleres goudotii,RNF,-0.389308287,decreasing,decreasing,AF,NT,1500,MAMMALIA,Carnivore,Eupleres goudotii-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Fossa fossana-RNF,Fossa fossana,RNF,-0.322410675,decreasing,decreasing,AF,NT,218,MAMMALIA,Carnivore,Fossa fossana-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Francolinus lathami-KRP,Francolinus lathami,KRP,0.114195555,stable,stable,AF,LC,269,AVES,Herbivore,Francolinus lathami-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Francolinus lathami-NNN,Francolinus lathami,NNN,0.120443231,stable,increasing,AF,LC,269,AVES,Herbivore,Francolinus lathami-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Francolinus nobilis-BIF,Francolinus nobilis,BIF,0.219626174,stable,increasing,AF,LC,757,AVES,Herbivore,Francolinus nobilis-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Francolinus pintadeanus-NAK,Francolinus pintadeanus,NAK,-0.426880056,stable,stable,AS,LC,340,AVES,Herbivore,Francolinus pintadeanus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Francolinus squamatus-UDZ,Francolinus squamatus,UDZ,0.088932239,stable,stable,AF,LC,472,AVES,Herbivore,Francolinus squamatus-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Funisciurus anerythrus-KRP,Funisciurus anerythrus,KRP,-0.46775718,decreasing,decreasing,AF,LC,286,MAMMALIA,Herbivore,Funisciurus anerythrus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Funisciurus lemniscatus-NNN,Funisciurus lemniscatus,NNN,-1.109610903,decreasing,decreasing,AF,LC,250,MAMMALIA,Herbivore,Funisciurus lemniscatus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Funisciurus leucogenys-KRP,Funisciurus leucogenys,KRP,-0.102950495,stable,stable,AF,LC,297,MAMMALIA,Herbivore,Funisciurus leucogenys-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Funisciurus pyrropus-KRP,Funisciurus pyrropus,KRP,-1.091770361,decreasing,decreasing,AF,LC,3200,MAMMALIA,Herbivore,Funisciurus pyrropus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Funisciurus pyrropus-NNN,Funisciurus pyrropus,NNN,-0.345175978,stable,stable,AF,LC,3200,MAMMALIA,Herbivore,Funisciurus pyrropus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Galictis vittata-BCI,Galictis vittata,BCI,0.425039755,stable,stable,LA,LC,3200,MAMMALIA,Carnivore,Galictis vittata-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Galictis vittata-YAS,Galictis vittata,YAS,-0.425039756,stable,stable,LA,LC,3200,MAMMALIA,Carnivore,Galictis vittata-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Galidia elegans-RNF,Galidia elegans,RNF,-0.650534456,decreasing,decreasing,AF,LC,800,MAMMALIA,Carnivore,Galidia elegans-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Galidictis fasciata-RNF,Galidictis fasciata,RNF,-0.11468917,stable,stable,AF,NT,550,MAMMALIA,Carnivore,Galidictis fasciata-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Gallus gallus-BBS,Gallus gallus,BBS,0.205756199,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Gallus gallus-NAK,Gallus gallus,NAK,-0.279270407,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Gallus gallus-PSH,Gallus gallus,PSH,-1.96E-16,stable,stable,AS,LC,914,AVES,Omnivore,Gallus gallus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Genetta servalina-BIF,Genetta servalina,BIF,-0.468178957,stable,decreasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Genetta servalina-KRP,Genetta servalina,KRP,-3.64E-09,stable,stable,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Genetta servalina-NNN,Genetta servalina,NNN,0.223996339,increasing,increasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Genetta servalina-UDZ,Genetta servalina,UDZ,-0.412542365,stable,decreasing,AF,LC,1055,MAMMALIA,Carnivore,Genetta servalina-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Geotrygon frenata-YAN,Geotrygon frenata,YAN,0.313325238,stable,stable,LA,LC,305,AVES,Omnivore,Geotrygon frenata-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Geotrygon montana-BCI,Geotrygon montana,BCI,-0.163789574,stable,stable,LA,LC,280,AVES,Omnivore,Geotrygon montana-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Geotrygon montana-CAX,Geotrygon montana,CAX,0.853078619,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Geotrygon montana-COU,Geotrygon montana,COU,1.4421822,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Geotrygon montana-CSN,Geotrygon montana,CSN,-1.317691373,decreasing,decreasing,LA,LC,280,AVES,Omnivore,Geotrygon montana-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Geotrygon montana-MAN,Geotrygon montana,MAN,2.024381764,increasing,increasing,LA,LC,280,AVES,Omnivore,Geotrygon montana-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Geotrygon montana-YAS,Geotrygon montana,YAS,-0.43284831,decreasing,decreasing,LA,LC,280,AVES,Omnivore,Geotrygon montana-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Geotrygon violacea-COU,Geotrygon violacea,COU,-0.750980229,stable,stable,LA,LC,190,AVES,Omnivore,Geotrygon violacea-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Geotrygon violacea-CSN,Geotrygon violacea,CSN,-0.428631716,decreasing,decreasing,LA,LC,190,AVES,Omnivore,Geotrygon violacea-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Gorilla beringei-BIF,Gorilla beringei,BIF,-0.161785728,stable,stable,AF,EN,124251,MAMMALIA,Herbivore,Gorilla beringei-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Gorilla gorilla-NNN,Gorilla gorilla,NNN,-0.35417467,decreasing,decreasing,AF,EN,180000,MAMMALIA,Herbivore,Gorilla gorilla-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Guttera plumifera-NNN,Guttera plumifera,NNN,-0.147586325,stable,decreasing,AF,LC,1200,AVES,Omnivore,Guttera plumifera-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Guttera pucherani-BIF,Guttera pucherani,BIF,0.025327255,stable,stable,AF,LC,1200,AVES,Omnivore,Guttera pucherani-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Guttera pucherani-UDZ,Guttera pucherani,UDZ,0.152592504,stable,stable,AF,LC,1200,AVES,Omnivore,Guttera pucherani-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Helarctos malayanus-BBS,Helarctos malayanus,BBS,-0.192405072,stable,stable,AS,VU,47000,MAMMALIA,Omnivore,Helarctos malayanus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Helarctos malayanus-PSH,Helarctos malayanus,PSH,-0.340079484,stable,stable,AS,VU,47000,MAMMALIA,Omnivore,Helarctos malayanus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Hemicentetes nigriceps-RNF,Hemicentetes nigriceps,RNF,-0.854772648,decreasing,decreasing,AF,LC,1.00E+05,MAMMALIA,Carnivore,Hemicentetes nigriceps-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Hemicentetes semispinosus-RNF,Hemicentetes semispinosus,RNF,0.428737211,stable,stable,AF,LC,138,MAMMALIA,Carnivore,Hemicentetes semispinosus-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Hemigalus derbyanus-BBS,Hemigalus derbyanus,BBS,0.354204394,increasing,increasing,AS,VU,2000,MAMMALIA,Carnivore,Hemigalus derbyanus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Hemigalus derbyanus-PSH,Hemigalus derbyanus,PSH,0.207022272,stable,stable,AS,VU,2000,MAMMALIA,Carnivore,Hemigalus derbyanus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Herpestes brachyurus-BBS,Herpestes brachyurus,BBS,0.428737211,stable,stable,AS,LC,2000,MAMMALIA,Carnivore,Herpestes brachyurus-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Herpestes brachyurus-PSH,Herpestes brachyurus,PSH,-0.332352596,stable,stable,AS,LC,2000,MAMMALIA,Carnivore,Herpestes brachyurus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Herpestes naso-KRP,Herpestes naso,KRP,-0.038516312,stable,stable,AF,LC,3000,MAMMALIA,Omnivore,Herpestes naso-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Herpestes naso-NNN,Herpestes naso,NNN,-1.46496528,decreasing,decreasing,AF,LC,3000,MAMMALIA,Omnivore,Herpestes naso-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Herpestes urva-NAK,Herpestes urva,NAK,0.432503066,increasing,increasing,AS,LC,1863,MAMMALIA,Carnivore,Herpestes urva-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Himantornis haematopus-KRP,Himantornis haematopus,KRP,-1.342565243,decreasing,decreasing,AF,LC,390,AVES,Omnivore,Himantornis haematopus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Hoplomys gymnurus-BCI,Hoplomys gymnurus,BCI,0.757649312,increasing,increasing,LA,LC,240,MAMMALIA,Omnivore,Hoplomys gymnurus-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Hydrochoerus hydrochaeris-COU,Hydrochoerus hydrochaeris,COU,4.58E-16,stable,stable,LA,LC,48145,MAMMALIA,Herbivore,Hydrochoerus hydrochaeris-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Hydrochoerus isthmius-BCI,Hydrochoerus isthmius,BCI,-0.425039756,stable,stable,LA,DD,10850,MAMMALIA,Herbivore,Hydrochoerus isthmius-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Hyemoschus aquaticus-KRP,Hyemoschus aquaticus,KRP,-0.197384734,stable,stable,AF,LC,188500,MAMMALIA,Herbivore,Hyemoschus aquaticus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Hyemoschus aquaticus-NNN,Hyemoschus aquaticus,NNN,-0.207057424,stable,stable,AF,LC,188500,MAMMALIA,Herbivore,Hyemoschus aquaticus-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Hylochoerus meinertzhageni-NNN,Hylochoerus meinertzhageni,NNN,-7.08E-17,stable,stable,AF,LC,14936,MAMMALIA,Omnivore,Hylochoerus meinertzhageni-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Hystrix africaeaustralis-UDZ,Hystrix africaeaustralis,UDZ,-0.722091593,decreasing,decreasing,AF,LC,8000,MAMMALIA,Omnivore,Hystrix africaeaustralis-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Hystrix brachyura-BBS,Hystrix brachyura,BBS,0.297841945,stable,stable,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Hystrix brachyura-NAK,Hystrix brachyura,NAK,0.3109305,stable,increasing,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Hystrix brachyura-PSH,Hystrix brachyura,PSH,0.683362591,increasing,increasing,AS,LC,8000,MAMMALIA,Omnivore,Hystrix brachyura-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Lariscus insignis-BBS,Lariscus insignis,BBS,0.36650857,stable,increasing,AS,LC,200,MAMMALIA,Omnivore,Lariscus insignis-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Lariscus insignis-PSH,Lariscus insignis,PSH,0.098304114,stable,stable,AS,LC,200,MAMMALIA,Omnivore,Lariscus insignis-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Leopardus pardalis-BCI,Leopardus pardalis,BCI,-0.139715647,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
